"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383526,1e-07,0,5,0.002,5,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383527,1e-07,0,5,0.002,5,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383528,1e-07,0,5,0.002,5,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383529,1e-07,0,5,0.002,5,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383530,1e-07,0,5,0.002,5,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383531,1e-07,0,5,0.002,5,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383532,1e-07,0,5,0.2,1,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383533,1e-07,0,5,0.2,1,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383534,1e-07,0,5,0.2,1,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383535,1e-07,0,5,0.2,1,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383536,1e-07,0,5,0.2,1,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383537,1e-07,0,5,0.2,1,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383538,1e-07,0,5,0.2,1,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383539,1e-07,0,5,0.2,1,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383540,1e-07,0,5,0.2,1,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383541,1e-07,0,5,0.2,1,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383542,1e-07,0,5,0.2,2,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383543,1e-07,0,5,0.2,2,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383544,1e-07,0,5,0.2,2,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383545,1e-07,0,5,0.2,2,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383546,1e-07,0,5,0.2,2,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383547,1e-07,0,5,0.2,2,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383548,1e-07,0,5,0.2,2,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383549,1e-07,0,5,0.2,2,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383550,1e-07,0,5,0.2,2,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383551,1e-07,0,5,0.2,2,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383552,1e-07,0,5,0.2,3,1000,0,0.001,0.001,1,-1,4000,21,1e-06
